date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2013-05-15,Rice - Retail,KG,cereals and tubers,4.492,TRY,Turkey,,0,National Average,1319,52,15,5,1,1319_52_15_5,
2013-06-15,Rice - Retail,KG,cereals and tubers,4.5786,TRY,Turkey,,0,National Average,1319,52,15,5,1,1319_52_15_5,
2013-11-15,Rice - Retail,KG,cereals and tubers,4.7865,TRY,Turkey,,0,National Average,1319,52,15,5,1,1319_52_15_5,
2013-12-15,Rice - Retail,KG,cereals and tubers,5.1337,TRY,Turkey,,0,National Average,1319,52,15,5,1,1319_52_15_5,
2014-01-15,Rice - Retail,KG,cereals and tubers,5.5099,TRY,Turkey,,0,National Average,1319,52,15,5,1,1319_52_15_5,
2014-02-15,Rice - Retail,KG,cereals and tubers,5.8146,TRY,Turkey,,0,National Average,1319,52,15,5,1,1319_52_15_5,
2014-03-15,Rice - Retail,KG,cereals and tubers,6.0014,TRY,Turkey,,0,National Average,1319,52,15,5,1,1319_52_15_5,
2014-05-15,Rice - Retail,KG,cereals and tubers,6.3202,TRY,Turkey,,0,National Average,1319,52,15,5,1,1319_52_15_5,
2014-06-15,Rice - Retail,KG,cereals and tubers,6.6019,TRY,Turkey,,0,National Average,1319,52,15,5,1,1319_52_15_5,
2014-07-15,Rice - Retail,KG,cereals and tubers,6.6503,TRY,Turkey,,0,National Average,1319,52,15,5,1,1319_52_15_5,
2014-08-15,Rice - Retail,KG,cereals and tubers,6.6806,TRY,Turkey,,0,National Average,1319,52,15,5,1,1319_52_15_5,
2014-09-15,Rice - Retail,KG,cereals and tubers,6.6035,TRY,Turkey,,0,National Average,1319,52,15,5,1,1319_52_15_5,
2014-10-15,Rice - Retail,KG,cereals and tubers,6.496,TRY,Turkey,,0,National Average,1319,52,15,5,1,1319_52_15_5,
2014-11-15,Rice - Retail,KG,cereals and tubers,6.644,TRY,Turkey,,0,National Average,1319,52,15,5,1,1319_52_15_5,
2014-12-15,Rice - Retail,KG,cereals and tubers,6.724,TRY,Turkey,,0,National Average,1319,52,15,5,1,1319_52_15_5,
2015-01-15,Rice - Retail,KG,cereals and tubers,6.755,TRY,Turkey,,0,National Average,1319,52,15,5,1,1319_52_15_5,
